postal_code,Number of Children in Each Neighbor,Children Score,Number of Single Parents,Single Parents Score,Value of After-tax Income,After-tax Income Score,Number of Bachlors Degreess,Education Score,Number of Movers,Movers Score,Total Score
M5V,5705,29,1340,45,54000,92,39245,95,21160,95,82
M2N,17785,93,3355,90,36400,47,39350,96,14470,94,78
M6P,9180,61,1660,56,42800,71,18145,91,5835,84,77
M6S,10095,64,1500,50,49200,83,15230,85,3190,55,76
M4S,6360,38,1055,34,47600,80,16940,88,6900,89,75
M8V,8915,58,2120,73,40800,64,17070,89,6885,88,75
M5A,8745,57,2395,79,39200,58,21690,93,10250,92,75
M2J,17845,94,3295,89,33200,35,24985,94,9095,91,73
M9A,10185,67,1825,62,41200,65,14425,83,4525,74,72
M4C,13715,83,2460,80,36400,47,15735,87,5220,81,71
M5M,9265,62,855,29,52400,88,12470,72,1985,26,69
M4L,9330,63,1515,51,45200,77,12225,69,3870,62,69
M5R,3865,18,735,23,46400,79,14920,84,4780,77,69
M6H,10100,65,1980,66,36400,47,15515,86,5840,85,68
M3H,12305,79,1995,68,36800,48,13965,80,4830,78,68
M6K,6745,40,1710,59,38800,52,17215,90,8955,90,68
M6J,5910,33,1295,43,41600,67,14095,81,5950,86,67
M9B,10625,69,1555,53,42000,68,12120,68,2880,44,65
M4Y,2845,12,780,26,39200,58,20815,92,10910,93,65
M9C,11760,75,2185,74,39200,58,11905,67,3215,56,64
M5J,1775,5,365,8,54000,92,11410,65,5150,80,64
M4P,4505,21,1030,31,42400,69,13115,74,6030,87,63
M4E,7635,49,1080,36,48800,82,11150,64,2330,31,63
M4J,10620,68,1795,61,39200,58,12370,71,2895,46,63
M1B,24745,96,4590,96,31600,19,14160,82,5625,82,63
M6G,7135,45,1315,44,39200,58,13140,76,4330,68,63
M4K,8080,53,1430,47,40400,61,12900,73,2990,48,62
M1C,12380,80,1595,54,39600,59,11150,64,2535,36,61
M4V,3635,16,635,18,52800,89,10760,61,2825,41,60
M3C,12510,81,2340,76,32800,33,12370,71,4440,72,60
M4G,6180,36,705,22,54000,92,9715,52,1940,25,59
M1E,16850,92,3520,92,32800,33,11120,62,4370,70,59
M2K,5745,30,1125,37,38400,51,13120,75,4755,76,58
M4M,5915,34,1190,39,43600,72,10395,56,3770,61,58
M5P,4715,24,695,21,48800,82,10595,58,2425,34,57
M2R,12060,77,2535,82,31400,16,13725,79,4365,69,56
M3A,11750,74,2525,81,34400,40,10585,57,3155,53,54
M1W,14840,88,2910,85,29600,8,13180,77,4425,71,54
M5E,1145,3,230,3,56800,96,8005,39,3885,63,54
M4W,2950,14,450,11,52000,87,9360,46,3045,49,54
M4N,4765,25,485,12,54400,93,8035,40,1715,19,53
M1P,14360,86,2690,83,31200,15,11585,66,4425,71,53
M2M,8375,55,1610,55,31600,19,13715,78,4665,75,52
