,postal_code,data,value
80,M6M,2021A0011M6M - Bachelor's degree or higher - Counts - Total,5825.0
90,M8X,2021A0011M8X - Bachelor's degree or higher - Counts - Total,5475.0
20,M2L,2021A0011M2L - Bachelor's degree or higher - Counts - Total,5250.0
99,M9P,2021A0011M9P - Bachelor's degree or higher - Counts - Total,5210.0
35,M4B,2021A0011M4B - Bachelor's degree or higher - Counts - Total,4395.0
39,M4H,2021A0011M4H - Bachelor's degree or higher - Counts - Total,4280.0
97,M9M,2021A0011M9M - Bachelor's degree or higher - Counts - Total,4210.0
98,M9N,2021A0011M9N - Bachelor's degree or higher - Counts - Total,4015.0
32,M3M,2021A0011M3M - Bachelor's degree or higher - Counts - Total,3975.0
33,M3N,2021A0011M3N - Bachelor's degree or higher - Counts - Total,3855.0
23,M2P,2021A0011M2P - Bachelor's degree or higher - Counts - Total,3810.0
34,M4A,2021A0011M4A - Bachelor's degree or higher - Counts - Total,3545.0
16,M1X,2021A0011M1X - Bachelor's degree or higher - Counts - Total,3145.0
79,M6L,2021A0011M6L - Bachelor's degree or higher - Counts - Total,3120.0
31,M3L,2021A0011M3L - Bachelor's degree or higher - Counts - Total,2380.0
58,M5H,2021A0011M5H - Bachelor's degree or higher - Counts - Total,2270.0
30,M3K,2021A0011M3K - Bachelor's degree or higher - Counts - Total,1965.0
96,M9L,2021A0011M9L - Bachelor's degree or higher - Counts - Total,1960.0
55,M5C,2021A0011M5C - Bachelor's degree or higher - Counts - Total,1770.0
87,M7Y,2021A0011M7A - Bachelor's degree or higher - Counts - Total,0.0
86,M7R,2021A0011M7A - Bachelor's degree or higher - Counts - Total,0.0
85,M7A,2021A0011M7A - Bachelor's degree or higher - Counts - Total,0.0
